X,Y,Z,Heading
0.1126667,1.038333,21.604,93.80721
0.1866667,1.048333,21.604,89.9037
0.204,1.042333,21.604,88.92635
0.2343333,1.049,21.604,87.40759
0.2993333,1.065667,21.604,84.31056
0.34,1.041667,21.604,81.92331
0.33,1.001667,21.604,81.76548
0.357,0.9473333,21.604,79.35122
0.3636667,0.9043333,21.604,78.09308
0.3956666,0.8803333,21.604,75.79842
0.4453333,0.8783333,21.604,73.11404
0.48,0.8809999,21.604,71.41689
0.4986667,0.8723333,21.604,70.24568
0.524,0.8236667,21.604,67.53631
0.5056667,0.732,21.604,65.36322
0.4706667,0.681,21.604,65.35007
0.4653334,0.6616667,21.604,64.88226
0.476,0.6486667,21.604,63.72829
0.5286667,0.6793333,21.604,62.10944
0.552,0.7526667,21.604,63.74396
0.5033333,0.8453333,21.604,69.22934
0.4226666,0.9076667,21.604,75.03035
0.2973333,0.9206667,21.604,82.10191
0.276,0.8809999,21.604,82.60525
0.2406667,0.7723333,21.604,82.69245
0.2093333,0.6766667,21.604,82.81004
0.1156667,0.604,21.604,89.15904
0.05533333,0.5326667,21.604,94.06939
21.811,0.4836667,21.604,11.27035
21.69367,0.5043333,21.604,11.33177
21.60933,0.57,21.604,11.51097
21.58633,0.665,21.604,11.76453
21.60167,0.7876667,21.604,12.08826
21.62267,0.8883333,21.604,12.35258
21.77933,0.9876667,21.604,12.59652
0.332,0.9716667,21.604,81.13568
0.5536666,0.8936666,21.604,68.21992
0.6436667,0.8406667,21.604,62.56008
0.6993333,0.802,21.604,58.912
0.7093334,0.744,21.604,56.36642
0.6483333,0.5106667,21.604,48.22612
0.5886667,0.4206666,21.604,45.54995
0.5066667,0.334,21.604,43.39329
0.412,0.2766667,21.604,43.88219
0.341,0.2836667,21.604,49.75595
0.3026667,0.322,21.604,56.77273
0.2576667,0.3573333,21.604,64.20529
0.1686667,0.3623333,21.604,75.03796
0.04,0.3573333,21.604,93.61288
0.07333333,0.321,21.604,87.13145
0.1306667,0.2853333,21.604,75.39487
0.154,0.272,21.604,70.48248
0.112,0.234,21.604,74.4227
0.109,0.227,21.604,74.35078
0.1026667,0.2503333,21.604,77.70049
0.1206667,0.2853333,21.604,77.07664
0.137,0.3606667,21.604,79.20061
0.1243333,0.4586667,21.604,84.833
0.075,0.562,21.604,92.39867
0.05766666,0.6066667,21.604,94.57007
0.084,0.559,21.604,91.45419
0.2126667,0.4253333,21.604,73.43495
0.3623333,0.315,21.604,51.00256
0.4933333,0.3123333,21.604,42.33823
0.6133333,0.462,21.604,46.98928
0.65,0.5436666,21.604,49.90945
0.6826667,0.6576667,21.604,53.93144
0.6876667,0.7553333,21.604,57.6848
0.679,0.797,21.604,59.57083
0.6556666,0.871,21.604,63.02849
0.6176667,0.906,21.604,65.71574
0.4293333,0.9626667,21.604,75.96392
0.3373333,0.9753333,21.604,80.9213
0.2253333,1.014,21.604,87.47119
0.1066667,1.028333,21.604,94.07801
0.026,1.032,21.604,98.5568
0.04366667,1.036667,21.604,97.588
0.1933333,1.069333,21.604,89.75174
0.285,1.050667,21.604,84.82335
0.2993333,0.9716667,21.604,82.87793
0.3743333,0.8693334,21.604,76.70338
0.4453333,0.776,21.604,70.14922
0.5133333,0.6936666,21.604,63.49749
0.6156667,0.6003333,21.604,54.27756
0.6403334,0.507,21.604,48.3713
0.5726666,0.3966667,21.604,44.70903
0.431,0.2873333,21.604,43.69007
0.247,0.2316667,21.604,53.16525
21.82167,0.324,21.604,10.85064
0.012,0.3856667,21.604,98.21782
21.845,0.4633333,21.604,11.21506
21.83967,0.5366667,21.604,11.40765
0.01366667,0.482,21.604,98.37586
0.08233334,0.3116667,21.604,85.20216
0.1983333,0.216,21.604,57.44154
0.3853333,0.2866667,21.604,46.64721
0.5443334,0.4343333,21.62067,48.58699
0.6366667,0.4943333,21.62067,47.82718
0.6393333,0.6003333,21.62067,53.19807
0.304,0.8389999,21.62067,80.08272
0.1543333,0.9333333,21.62067,90.61069
0.121,1.056,21.62067,93.46336
0.136,1.157333,21.62067,93.29782
0.1253333,1.174333,21.62067,93.90804
0.1066667,1.180667,21.62067,94.83765
0.1416667,1.200667,21.62067,93.27078
0.2103333,1.225667,21.62067,90.26247
0.3823333,1.212333,21.62067,82.49629
0.5356667,1.160333,21.62067,75.21964
0.604,1.056,21.62067,70.23175
0.6233334,0.9053333,21.62067,65.4521
0.5776667,0.7536666,21.62067,62.53074
0.5003333,0.5806666,21.62067,59.25006
0.4653334,0.7,21.62067,66.38555
0.414,1.026667,21.62067,78.0384
0.45,1.057667,21.62067,76.95195
0.5366667,0.9986667,21.62067,71.74716
0.6193333,0.9666666,21.62067,67.35274
0.6403334,0.9393333,21.62067,65.71817
0.541,1.042667,21.62067,72.57692
0.425,1.110667,21.62067,79.06049
0.357,1.042667,21.62067,81.09924
0.3816667,1.004,21.62067,79.18589
0.401,1.068667,21.62067,79.43221
0.496,1.05,21.62067,74.71484
0.622,0.906,21.62067,65.52907
0.6033334,0.9716667,21.62067,68.16277
0.432,1.110667,21.62067,78.74617
0.342,1.075667,21.62067,82.36233
0.4716667,1.023667,21.62067,75.26154
0.5426667,1.071,21.62067,73.12904
0.5626667,0.969,21.62067,69.85766
0.5726666,1.000333,21.62067,70.2099
0.5356667,1.054333,21.62067,73.0666
0.55,1.025667,21.62067,71.79816
0.6056666,0.9603333,21.62067,67.76103
0.662,0.821,21.62067,61.11959
0.6566667,0.6906667,21.62067,56.44555
0.6086667,0.7026667,21.62067,59.1001
0.569,0.7186666,21.62067,61.62979
0.5753334,0.6843333,21.62067,59.94553
0.569,0.7683333,21.62067,63.47768
0.5673333,0.751,21.62067,62.93124
